UF,MUNICIPIO,COBERTURA_VACINAL
MG,SÃO JOÃO DAS MISSÕES,68.63
MG,ESPERA FELIZ,68.6
MG,ITINGA,68.5
MG,JOSÉ RAYDAN,68.38
MG,SERRANÓPOLIS DE MINAS,68.34
MG,JEQUITINHONHA,68.31
MG,PERIQUITO,68.25
MG,ERVÁLIA,68.19
MG,ALTEROSA,68.09
MG,NOVA LIMA,68.09
MG,AREADO,68.03
MG,CAETANÓPOLIS,67.99
MG,SÃO VICENTE DE MINAS,67.96
MG,OLIVEIRA,67.86
MG,CAMPESTRE,67.71
MG,MÁRIO CAMPOS,67.69
MG,NOVA SERRANA,67.46
MG,AÇUCENA,67.29
MG,TAQUARAÇU DE MINAS,67.28
MG,CARVALHÓPOLIS,67.27
MG,CÓRREGO DANTA,67.27
MG,GRÃO MOGOL,67.26
MG,CHIADOR,67.19
MG,CONCEIÇÃO DO RIO VERDE,67.16
MG,ARCOS,67.11
MG,ESTRELA DO INDAIÁ,67.09
MG,ÁGUAS FORMOSAS,66.99
MG,CHAPADA DO NORTE,66.95
MG,PEDRA AZUL,66.85
MG,PORTO FIRME,66.8
MG,IMBÉ DE MINAS,66.78
MG,CONCEIÇÃO DAS ALAGOAS,66.68
MG,PEQUI,66.54
MG,FELISBURGO,66.45
MG,SANTO ANTÔNIO DO RETIRO,66.3
MG,SÃO MIGUEL DO ANTA,66.29
MG,OURO FINO,66.23
MG,PADRE PARAÍSO,66.2
MG,SANTA VITÓRIA,66.2
MG,RUBELITA,66.19
MG,SANTA ROSA DA SERRA,66.17
MG,FRANCISCO BADARÓ,66.17
MG,SALTO DA DIVISA,65.96
MG,SÃO FRANCISCO DE SALES,65.9
MG,PONTE NOVA,65.83
MG,PASSOS,65.77
MG,VESPASIANO,65.56
MG,RITÁPOLIS,65.55
MG,ARAÇUAÍ,65.44
MG,NANUQUE,65.42
MG,MARILAC,65.38
MG,PATOS DE MINAS,65.26
MG,SANTO ANTÔNIO DO AMPARO,65.24
MG,RIO PRETO,65.18
MG,RECREIO,65.18
MG,NOVO ORIENTE DE MINAS,65.16
MG,BOTELHOS,65.01
MG,SIMONÉSIA,64.79
MG,CALDAS,64.74
MG,SÃO JOSÉ DA LAPA,64.71
MG,SERRA DA SAUDADE,64.68
MG,SANTA LUZIA,64.63
MG,SÃO JOÃO EVANGELISTA,64.53
MG,JAÍBA,64.52
MG,JEQUERI,64.49
MG,JOAÍMA,64.48
MG,LAGOA SANTA,64.46
MG,TUPACIGUARA,64.43
MG,CHALÉ,64.42
MG,VERÍSSIMO,64.35
MG,TAPIRAÍ,64.34
MG,PERDIGÃO,64.33
MG,SANTA RITA DO SAPUCAÍ,64.3
MG,SANTANA DE CATAGUASES,64.3
MG,FRANCISCÓPOLIS,64.28
MG,VIRGÍNIA,64.26
MG,VERDELÂNDIA,64.21
MG,CÓRREGO DO BOM JESUS,64.21
MG,NOVA PONTE,64.2
MG,POÇO FUNDO,64.18
MG,JOÃO PINHEIRO,64.18
MG,CAMPANHA,64.1
MG,BELA VISTA DE MINAS,64.09
MG,ROMARIA,64.08
MG,JOSENÓPOLIS,64.05
MG,NEPOMUCENO,64.04
MG,CARMO DA MATA,64.04
MG,MARIPÁ DE MINAS,63.98
MG,TURVOLÂNDIA,63.96
MG,BOM DESPACHO,63.95
MG,BELMIRO BRAGA,63.91
MG,CLÁUDIO,63.83
MG,CONCEIÇÃO DO PARÁ,63.78
MG,VARGINHA,63.75
MG,CARANGOLA,63.68
MG,IBIÁ,63.62
MG,CRISTAIS,63.62
MG,BERTÓPOLIS,63.43
MG,DIAMANTINA,63.28
MG,CORONEL MURTA,63.2
MG,ESPINOSA,62.88
MG,ROSÁRIO DA LIMEIRA,62.86
MG,AIMORÉS,62.79
MG,ITAMONTE,62.59
MG,FRONTEIRA DOS VALES,62.5
MG,BARROSO,62.2
MG,NOVA MÓDICA,62.12
MG,ALTO CAPARAÓ,62.03
MG,POUSO ALEGRE,62.03
MG,PIRAPETINGA,61.91
MG,ANDRELÂNDIA,61.89
MG,ITAPECERICA,61.74
MG,CAPITÓLIO,61.73
MG,MONTE SANTO DE MINAS,61.65
MG,JABOTICATUBAS,61.64
MG,ITUMIRIM,61.6
MG,PIMENTA,61.55
MG,UNIÃO DE MINAS,61.46
MG,JAGUARAÇU,61.45
MG,TRÊS PONTAS,61.33
MG,FRANCISCO DUMONT,61.33
MG,SANTANA DOS MONTES,61.27
MG,JANAÚBA,61.21
MG,BARÃO DE COCAIS,61.2
MG,TAIOBEIRAS,61.12
MG,SETUBINHA,61.0
MG,MARTINS SOARES,60.56
MG,INCONFIDENTES,60.54
MG,CAMPOS ALTOS,60.53
MG,CANA VERDE,60.5
MG,SÃO JOSÉ DA SAFIRA,60.42
MG,MARTINHO CAMPOS,60.36
MG,JURUAIA,60.31
MG,ITABIRA,60.18
MG,RIO ACIMA,60.14
MG,NINHEIRA,59.81
MG,MONTE CARMELO,59.7
MG,VÁRZEA DA PALMA,59.68
MG,CONGONHAS,59.67
MG,UNAÍ,59.65
MG,JOÃO MONLEVADE,59.58
MG,DIVINO DAS LARANJEIRAS,59.51
MG,SÃO SEBASTIÃO DO RIO VERDE,59.36
MG,SANTANA DO JACARÉ,59.35
MG,VIÇOSA,59.32
MG,GUARANÉSIA,59.32
MG,VISCONDE DO RIO BRANCO,59.23
MG,BELO HORIZONTE,59.17
MG,ITACARAMBI,59.06
MG,POTÉ,59.02
MG,JUATUBA,58.85
MG,SERITINGA,58.57
MG,PEDRO LEOPOLDO,58.54
MG,MALACACHETA,58.51
MG,BOM JARDIM DE MINAS,58.34
MG,ATALÉIA,58.29
MG,UBERLÂNDIA,58.03
MG,MUTUM,58.0
MG,ENTRE RIOS DE MINAS,57.99
MG,FRONTEIRA,57.98
MG,ITAÚ DE MINAS,57.95
MG,BURITIS,57.9
MG,CAMPO DO MEIO,57.87
MG,CONCEIÇÃO DOS OUROS,57.85
MG,ABADIA DOS DOURADOS,57.82
MG,SANTA MARIA DO SUAÇUÍ,57.76
MG,CAPARAÓ,57.7
MG,CAXAMBU,57.67
MG,SÃO FRANCISCO,57.61
MG,IRAÍ DE MINAS,57.56
MG,SANTANA DO MANHUAÇU,57.53
MG,SANTA FÉ DE MINAS,57.51
MG,MACHADO,57.5
MG,COROMANDEL,57.46
MG,ALMENARA,57.39
MG,DIVISA NOVA,57.37
MG,PAINS,57.18
MG,CENTRALINA,57.11
MG,FORMIGA,57.06
MG,CAMBUÍ,57.05
MG,EUGENÓPOLIS,57.03
MG,SANTA CRUZ DE MINAS,56.99
MG,RIO ESPERA,56.96
MG,LAVRAS,56.89
MG,TUMIRITINGA,56.89
MG,SÃO JOSÉ DO MANTIMENTO,56.86
MG,LEANDRO FERREIRA,56.82
MG,COQUEIRAL,56.79
MG,JEQUITAÍ,56.69
MG,BURITIZEIRO,56.58
MG,VIRGEM DA LAPA,56.5
MG,IPATINGA,56.49
MG,CAPINÓPOLIS,56.39
MG,MATHIAS LOBATO,56.37
MG,SÃO GOTARDO,56.16
MG,CÓRREGO FUNDO,56.13
MG,BUENO BRANDÃO,55.96
MG,POÇOS DE CALDAS,55.95
MG,BOCAINA DE MINAS,55.9
MG,IBIRITÉ,55.78
MG,ITABIRITO,55.72
MG,ANDRADAS,55.65
MG,CÁSSIA,55.43
MG,CONTAGEM,55.29
MG,PARACATU,55.11
MG,ALÉM PARAÍBA,55.1
MG,IGUATAMA,55.05
MG,PATROCÍNIO,54.83
MG,PALMA,54.81
MG,BETIM,54.5
MG,CAMPO BELO,54.48
MG,GURINHATÃ,54.29
MG,MONTE SIÃO,54.2
MG,TIMÓTEO,54.17
MG,RIO NOVO,54.14
MG,MADRE DE DEUS DE MINAS,54.12
MG,SÃO SEBASTIÃO DO PARAÍSO,53.98
MG,PRATÁPOLIS,53.83
MG,LAGOA DA PRATA,53.82
MG,CAMPINA VERDE,53.73
MG,FREI GASPAR,53.65
MG,ITANHANDU,53.62
MG,FRUTAL,53.56
MG,CAPITÃO ANDRADE,53.54
MG,PEDRALVA,53.53
MG,TEÓFILO OTONI,53.5
MG,CARMO DO CAJURU,52.75
MG,ITURAMA,52.71
MG,SANTA BÁRBARA DO MONTE VERDE,52.65
MG,MATOZINHOS,52.51
MG,GUAXUPÉ,52.5
MG,JUIZ DE FORA,52.34
MG,SÃO GERALDO,52.15
MG,LAJINHA,52.1
MG,SÃO JOÃO DO MANHUAÇU,52.07
MG,CARMÓPOLIS DE MINAS,52.07
MG,JACINTO,52.05
MG,ABRE CAMPO,51.87
MG,JURAMENTO,51.74
MG,BOA ESPERANÇA,51.71
MG,URUCÂNIA,51.67
MG,JESUÂNIA,51.53
MG,MANHUMIRIM,50.71
MG,MIRABELA,50.66
MG,IGARAPÉ,49.93
MG,CARMO DO RIO CLARO,49.86
MG,UBÁ,49.83
MG,PERDÕES,49.57
MG,BARBACENA,49.18
MG,CUPARAQUE,49.18
MG,JORDÂNIA,49.01
MG,FAMA,48.57
MG,SANTOS DUMONT,48.35
MG,ESTRELA DO SUL,48.24
MG,DURANDÉ,48.14
MG,GOVERNADOR VALADARES,47.65
MG,PITANGUI,47.01
MG,JACUTINGA,46.82
MG,CARMO DE MINAS,46.47
MG,ARAGUARI,46.46
MG,BAMBUÍ,46.32
MG,SÃO JOÃO DEL REI,46.2
MG,DORES DE CAMPOS,45.92
MG,RESPLENDOR,45.54
MG,CARVALHOS,45.28
MG,PIRAPORA,44.94
MG,MONTE ALEGRE DE MINAS,44.78
MG,SÃO GONÇALO DO PARÁ,44.51
MG,MATIAS BARBOSA,44.51
MG,RODEIRO,44.09
MG,GUIDOVAL,43.49
MG,MATIPÓ,43.14
MG,FREI INOCÊNCIO,42.63
MG,SÃO LOURENÇO,41.39
MG,SOLEDADE DE MINAS,40.11
MG,CONSELHEIRO PENA,39.12
MG,MANTENA,38.99
MG,PASSA QUATRO,38.69
MG,REDUTO,38.53
MG,IJACI,16.34
MS,ELDORADO,126.63
MS,GLÓRIA DE DOURADOS,125.59
MS,ANTÔNIO JOÃO,125.39
MS,MIRANDA,124.66
MS,NAVIRAÍ,108.03
MS,DEODÁPOLIS,106.33
MS,TACURU,105.33
MS,PORTO MURTINHO,104.58
MS,JARAGUARI,104.26
MS,SETE QUEDAS,104.13
MS,LAGUNA CARAPÃ,103.15
MS,LADÁRIO,101.06
MS,ITAQUIRAÍ,99.25
MS,NOVA ANDRADINA,99.03
MS,SANTA RITA DO PARDO,98.75
MS,SONORA,98.31
MS,ITAPORÃ,97.45
MS,VICENTINA,97.39
MS,ANAURILÂNDIA,97.03
MS,NOVO HORIZONTE DO SUL,95.94
MS,SELVÍRIA,95.76
MS,RIBAS DO RIO PARDO,93.92
MS,CASSILÂNDIA,93.22
MS,CORUMBÁ,92.87
MS,JARDIM,92.48
MS,COXIM,92.33
MS,CORONEL SAPUCAIA,92.18
MS,ROCHEDO,92.09
MS,INOCÊNCIA,91.99
MS,RIO BRILHANTE,91.12
MS,CAMAPUÃ,90.39
MS,JATEÍ,88.0
MS,BANDEIRANTES,86.53
MS,IVINHEMA,84.69
MS,ARAL MOREIRA,83.47
MS,APARECIDA DO TABOADO,80.99
MS,TRÊS LAGOAS,79.83
MS,BONITO,79.78
MS,FIGUEIRÃO,79.47
MS,MUNDO NOVO,79.36
MS,BELA VISTA,77.83
MS,ÁGUA CLARA,77.51
MS,JUTI,77.31
MS,ANGÉLICA,75.55
MS,ANASTÁCIO,74.51
MS,COSTA RICA,73.81
MS,SÃO GABRIEL DO OESTE,71.72
MS,BATAYPORÃ,71.59
MS,IGUATEMI,71.09
MS,BRASILÂNDIA,70.37
MS,TAQUARUSSU,69.63
MS,CARACOL,69.04
MS,BODOQUENA,68.68
MS,PARAÍSO DAS ÁGUAS,67.45
MS,NIOAQUE,65.99
MS,CORGUINHO,65.69
MS,JAPORÃ,64.14
MS,PARANAÍBA,64.03
MS,RIO NEGRO,62.59
MS,ALCINÓPOLIS,62.07
MS,SIDROLÂNDIA,61.67
MS,BATAGUASSU,61.45
MS,CHAPADÃO DO SUL,60.54
MS,CAARAPÓ,59.38
MS,PONTA PORÃ,59.1
MS,DOIS IRMÃOS DO BURITI,58.88
MS,FÁTIMA DO SUL,57.9
MS,RIO VERDE DE MATO GROSSO,54.19
MS,AMAMBAI,52.28
MS,DOURADOS,51.31
MS,GUIA LOPES DA LAGUNA,51.26
MS,PEDRO GOMES,49.94
MS,MARACAJU,49.37
MS,NOVA ALVORADA DO SUL,49.25
MS,DOURADINA,49.08
MS,CAMPO GRANDE,47.68
MS,TERENOS,42.21
MS,AQUIDAUANA,41.12
MS,PARANHOS,39.11
MT,SÃO JOSÉ DO RIO CLARO,133.4
MT,ARAGUAINHA,114.0
MT,NOVA UBIRATÃ,113.74
MT,NOVA BRASILÂNDIA,107.88
MT,NOVA GUARITA,104.16
MT,TORIXORÉU,104.09
MT,NOVO SÃO JOAQUIM,103.48
MT,NOVA XAVANTINA,103.02
MT,TABAPORÃ,102.09
MT,NOVO SANTO ANTÔNIO,102.06
MT,PONTAL DO ARAGUAIA,102.02
MT,RIBEIRÃOZINHO,101.27
MT,PLANALTO DA SERRA,100.76
MT,UNIÃO DO SUL,100.53
MT,PORTO ESTRELA,100.33
MT,PONTE BRANCA,99.49
MT,LAMBARI D'OESTE,98.84
MT,SALTO DO CÉU,98.48
MT,CLÁUDIA,97.75
MT,APIACÁS,97.09
MT,SANTA RITA DO TRIVELATO,96.98
MT,JACIARA,96.81
MT,SÃO PEDRO DA CIPA,96.43
MT,PARANATINGA,96.34
MT,NOVA MUTUM,96.24
MT,CONFRESA,95.29
MT,TAPURAH,94.15
MT,RESERVA DO CABAÇAL,93.94
MT,COMODORO,93.27
MT,ALTO TAQUARI,93.08
MT,DENISE,92.64
MT,NOVA CANAÃ DO NORTE,92.57
MT,CAMPO VERDE,92.15
MT,GAÚCHA DO NORTE,92.03
MT,GLÓRIA D'OESTE,90.64
MT,NOVA MARINGÁ,90.55
MT,TANGARÁ DA SERRA,90.32
MT,PARANAÍTA,90.25
MT,POXORÉU,90.12
MT,ALTO ARAGUAIA,89.23
MT,VERA,88.3
MT,MARCELÂNDIA,86.81
MT,ITANHANGÁ,86.73
MT,RONDONÓPOLIS,86.51
MT,DIAMANTINO,85.33
MT,SANTA CARMEM,85.22
MT,RIBEIRÃO CASCALHEIRA,84.97
MT,CONQUISTA D'OESTE,83.32
MT,LUCAS DO RIO VERDE,82.81
MT,NOVA BANDEIRANTES,80.91
MT,PRIMAVERA DO LESTE,80.83
MT,IPIRANGA DO NORTE,77.62
MT,CANARANA,77.47
MT,NOVA MARILÂNDIA,77.08
MT,ALTO BOA VISTA,76.94
MT,NOVA SANTA HELENA,75.76
MT,ITIQUIRA,75.45
MT,JUSCIMEIRA,75.06
MT,ACORIZAL,75.01
MT,TERRA NOVA DO NORTE,74.79
MT,CAMPINÁPOLIS,74.27
MT,SÃO JOSÉ DO POVO,74.2
MT,ITAÚBA,74.05
MT,FELIZ NATAL,73.82
MT,RIO BRANCO,73.05
MT,PEDRA PRETA,71.38
MT,ALTO GARÇAS,71.25
MT,ÁGUA BOA,71.14
MT,CAMPOS DE JÚLIO,70.99
MT,MIRASSOL D'OESTE,70.25
MT,NOVO HORIZONTE DO NORTE,70.0
MT,SANTO AFONSO,69.65
MT,INDIAVAÍ,69.12
MT,ROSÁRIO OESTE,66.9
MT,POCONÉ,66.6
MT,CURVELÂNDIA,65.24
MT,NOVA LACERDA,65.04
MT,SERRA NOVA DOURADA,64.12
MT,VILA BELA DA SANTÍSSIMA TRINDADE,64.09
MT,NOVA OLÍMPIA,63.91
MT,MATUPÁ,63.31
MT,JUÍNA,61.62
MT,CAMPO NOVO DO PARECIS,60.68
MT,FIGUEIRÓPOLIS D'OESTE,60.1
MT,SANTA CRUZ DO XINGU,59.71
MT,PONTES E LACERDA,59.69
MT,PORTO DOS GAÚCHOS,59.56
MT,ARAPUTANGA,59.49
MT,ARENÁPOLIS,59.14
MT,CASTANHEIRA,58.68
MT,VILA RICA,58.25
MT,SORRISO,57.29
MT,CHAPADA DOS GUIMARÃES,57.19
MT,NOSSA SENHORA DO LIVRAMENTO,56.98
MT,NOVO MUNDO,56.95
MT,PORTO ALEGRE DO NORTE,55.72
MT,BOM JESUS DO ARAGUAIA,55.25
MT,GUARANTÃ DO NORTE,54.97
MT,ARIPUANÃ,54.85
MT,PORTO ESPERIDIÃO,54.56
MT,ARAGUAIANA,54.02
MT,NOBRES,53.86
MT,GENERAL CARNEIRO,52.8
MT,TESOURO,52.79
MT,SÃO JOSÉ DOS QUATRO MARCOS,52.05
MT,QUERÊNCIA,51.98
MT,BARÃO DE MELGAÇO,51.16
MT,JUARA,50.64
MT,SINOP,49.49
MT,SÃO FÉLIX DO ARAGUAIA,48.95
MT,NOVA MONTE VERDE,48.56
MT,SAPEZAL,48.48
MT,VÁRZEA GRANDE,47.86
MT,RONDOLÂNDIA,47.69
MT,GUIRATINGA,47.34
MT,BARRA DO BUGRES,47.29
MT,JANGADA,47.22
MT,NORTELÂNDIA,46.56
MT,CARLINDA,46.47
MT,BARRA DO GARÇAS,46.35
MT,JAURU,45.99
MT,COLÍDER,45.86
MT,CÁCERES,45.8
MT,BRASNORTE,45.77
MT,SANTO ANTÔNIO DO LESTE,44.55
MT,JURUENA,44.53
MT,COTRIGUAÇU,44.17
MT,ALTA FLORESTA,42.93
MT,ALTO PARAGUAI,42.71
MT,LUCIARA,41.56
MT,VALE DE SÃO DOMINGOS,39.44
MT,CUIABÁ,38.92
MT,DOM AQUINO,38.64
MT,CANABRAVA DO NORTE,38.62
MT,COCALINHO,37.21
MT,SANTA TEREZINHA,34.14
MT,SANTO ANTÔNIO DO LEVERGER,34.02
MT,COLNIZA,31.21
MT,PEIXOTO DE AZEVEDO,29.68
MT,NOVA NAZARÉ,21.4
MT,SÃO JOSÉ DO XINGU,14.6
PA,SÃO JOÃO DE PIRABAS,143.29
PA,ANANINDEUA,118.23
PA,MELGAÇO,108.76
PA,MOCAJUBA,107.32
PA,SANTA IZABEL DO PARÁ,104.42
PA,ORIXIMINÁ,100.66
PA,CAPITÃO POÇO,100.07
PA,MOJU,100.01
PA,COLARES,99.32
PA,TOMÉ-AÇU,97.84
PA,SÃO GERALDO DO ARAGUAIA,97.45
PA,SANTARÉM NOVO,96.7
PA,MAGALHÃES BARATA,92.6
PA,PONTA DE PEDRAS,92.55
PA,BREU BRANCO,92.53
PA,ITUPIRANGA,90.47
PA,TERRA SANTA,86.83
PA,PIÇARRA,86.68
PA,ACARÁ,84.18
PA,BAGRE,83.85
PA,PRAINHA,83.69
PA,SANTA MARIA DO PARÁ,83.01
PA,CONCÓRDIA DO PARÁ,82.92
PA,BREJO GRANDE DO ARAGUAIA,82.1
PA,PLACAS,81.39
PA,SÃO JOÃO DO ARAGUAIA,81.35
PA,SÃO SEBASTIÃO DA BOA VISTA,79.66
PA,GURUPÁ,79.23
PA,SANTA LUZIA DO PARÁ,78.83
PA,IGARAPÉ-MIRI,78.76
PA,CACHOEIRA DO ARARI,78.52
PA,FARO,78.19
PA,SÃO DOMINGOS DO CAPIM,78.09
PA,NOVA IPIXUNA,77.41
PA,CURIONÓPOLIS,77.29
PA,TRACUATEUA,76.45
PA,BRAGANÇA,75.43
PA,SALINÓPOLIS,75.43
PA,BENEVIDES,75.16
PA,CURUÁ,74.46
PA,OEIRAS DO PARÁ,74.29
PA,CANAÃ DOS CARAJÁS,74.24
PA,INHANGAPI,73.44
PA,NOVO PROGRESSO,73.39
PA,BELÉM,72.62
PA,PRIMAVERA,72.19
PA,ANAPU,71.96
PA,ULIANÓPOLIS,71.36
PA,BRASIL NOVO,70.75
PA,PAU D'ARCO,70.28
PA,BOM JESUS DO TOCANTINS,69.65
PA,SOURE,69.12
PA,SÃO JOÃO DA PONTA,68.68
PA,BARCARENA,68.58
PA,PARAUAPEBAS,67.91
PA,LIMOEIRO DO AJURU,67.61
PA,GARRAFÃO DO NORTE,67.58
PA,MARAPANIM,67.44
PA,IGARAPÉ-AÇU,66.87
PA,QUATIPURU,66.12
PA,TAILÂNDIA,66.04
PA,PACAJÁ,65.55
PA,SÃO MIGUEL DO GUAMÁ,65.53
PA,VITÓRIA DO XINGU,64.94
PA,TRAIRÃO,64.68
PA,TERRA ALTA,62.84
PA,NOVO REPARTIMENTO,62.25
PA,CAMETÁ,62.09
PA,SÃO CAETANO DE ODIVELAS,61.67
PA,VIGIA,61.52
PA,JURUTI,60.99
PA,ÁGUA AZUL DO NORTE,60.98
PA,SÃO DOMINGOS DO ARAGUAIA,60.78
PA,IRITUIA,60.52
PA,CONCEIÇÃO DO ARAGUAIA,60.12
PA,PALESTINA DO PARÁ,59.94
PA,SANTARÉM,59.88
PA,BANNACH,59.78
PA,PEIXE-BOI,58.77
PA,MÃE DO RIO,58.66
PA,SANTA MARIA DAS BARREIRAS,58.58
PA,VISEU,58.49
PA,SANTA BÁRBARA DO PARÁ,58.47
PA,CACHOEIRA DO PIRIÁ,58.27
PA,BONITO,58.14
PA,MOJUÍ DOS CAMPOS,57.76
PA,SAPUCAIA,57.51
PA,BAIÃO,57.09
PA,RONDON DO PARÁ,56.62
PA,ALMEIRIM,56.39
PA,MARACANÃ,56.38
PA,MONTE ALEGRE,56.07
PA,ALENQUER,55.68
PA,OURILÂNDIA DO NORTE,55.48
PA,ABAETETUBA,55.38
PA,CURUÇÁ,54.79
PA,ÓBIDOS,54.22
PA,PORTO DE MOZ,53.29
PA,AUGUSTO CORRÊA,53.07
PA,SÃO FRANCISCO DO PARÁ,52.61
PA,ALTAMIRA,52.57
PA,ELDORADO DO CARAJÁS,52.49
PA,MEDICILÂNDIA,52.11
PA,NOVA TIMBOTEUA,52.0
PA,PORTEL,51.48
PA,BELTERRA,51.16
PA,BREVES,49.8
PA,XINGUARA,49.47
PA,JACAREACANGA,49.02
PA,TUCURUÍ,48.57
PA,JACUNDÁ,48.23
PA,MARITUBA,47.43
PA,FLORESTA DO ARAGUAIA,46.95
PA,ABEL FIGUEIREDO,46.87
PA,MARABÁ,46.61
PA,BUJARU,44.98
PA,PARAGOMINAS,44.22
PA,SENADOR JOSÉ PORFÍRIO,44.13
PA,CUMARU DO NORTE,43.88
PA,DOM ELISEU,43.29
PA,AVEIRO,43.21
PA,REDENÇÃO,42.87
PA,NOVA ESPERANÇA DO PIRIÁ,42.39
PA,CAPANEMA,41.82
PA,SALVATERRA,41.47
PA,AURORA DO PARÁ,40.93
PA,GOIANÉSIA DO PARÁ,40.1
PA,URUARÁ,39.72
PA,ANAJÁS,39.53
PA,ITAITUBA,39.02
PA,AFUÁ,38.9
PA,CURRALINHO,37.67
PA,RURÓPOLIS,37.59
PA,MUANÁ,37.44
PA,SANTO ANTÔNIO DO TAUÁ,37.2
PA,IPIXUNA DO PARÁ,34.96
PA,CASTANHAL,31.73
PA,RIO MARIA,31.51
PA,SANTANA DO ARAGUAIA,24.22
PA,OURÉM,21.49
PA,SANTA CRUZ DO ARARI,21.45
PA,CHAVES,21.35
PA,TUCUMÃ,10.44
PA,SÃO FÉLIX DO XINGU,10.36
PB,MARCAÇÃO,134.4
PB,PEDRA LAVRADA,125.07
PB,ALGODÃO DE JANDAÍRA,120.91
PB,CUITÉ DE MAMANGUAPE,120.62
PB,AROEIRAS,119.43
PB,OLHO D'ÁGUA,115.1
PB,PIRPIRITUBA,114.79
PB,ITAPORANGA,114.72
PB,AREIA DE BARAÚNAS,114.31
PB,MANAÍRA,112.42
PB,REMÍGIO,110.9
PB,MOGEIRO,110.49
PB,ZABELÊ,108.95
PB,ITAPOROROCA,108.82
PB,MONTE HOREBE,107.64
PB,MATINHAS,107.2
PB,SÃO JOSÉ DE CAIANA,107.18
PB,SÃO JOSÉ DOS CORDEIROS,106.5
PB,MULUNGU,106.47
PB,IGARACY,106.35
PB,PRINCESA ISABEL,106.2
PB,SÃO DOMINGOS DO CARIRI,106.1
PB,FAGUNDES,106.02
PB,TENÓRIO,105.84
PB,DONA INÊS,105.52
PB,SÃO SEBASTIÃO DE LAGOA DE ROÇA,105.48
PB,SÃO MAMEDE,105.47
PB,SOSSÊGO,105.38
PB,ALCANTIL,105.23
PB,JURU,105.05
PB,BARAÚNA,104.93
PB,ESPERANÇA,104.93
PB,LAGOA SECA,104.85
PB,APARECIDA,104.37
PB,SÃO JOÃO DO CARIRI,104.32
PB,SANTANA DE MANGUEIRA,104.31
PB,GADO BRAVO,104.24
PB,ÁGUA BRANCA,103.99
PB,SÃO MIGUEL DE TAIPU,103.63
PB,DAMIÃO,103.62
PB,ALAGOA GRANDE,103.56
PB,SÃO SEBASTIÃO DO UMBUZEIRO,103.46
PB,CAIÇARA,103.41
PB,CONDE,103.3
PB,SOBRADO,103.29
PB,SANTA CECÍLIA,103.06
PB,POCINHOS,102.8
PB,BREJO DOS SANTOS,102.61
PB,RIACHO DE SANTO ANTÔNIO,102.51
PB,TEIXEIRA,102.42
PB,MATURÉIA,102.34
PB,LASTRO,102.31
PB,PARARI,102.28
PB,ARARA,102.22
PB,CONCEIÇÃO,102.15
PB,CAMALAÚ,102.09
PB,AGUIAR,102.02
PB,CAJAZEIRAS,101.78
PB,SANTA TERESINHA,101.54
PB,ASSUNÇÃO,101.44
PB,SERRA DA RAIZ,101.44
PB,CUITEGI,101.44
PB,BONITO DE SANTA FÉ,101.44
PB,MALTA,101.24
PB,JACARAÚ,101.14
PB,PAULISTA,101.03
PB,CONGO,101.0
PB,PILAR,100.88
PB,DUAS ESTRADAS,100.87
PB,BORBOREMA,100.78
PB,LUCENA,100.6
PB,COREMAS,100.54
PB,JUNCO DO SERIDÓ,100.54
PB,SANTA RITA,100.51
PB,ALHANDRA,100.44
PB,PRATA,100.33
PB,BELÉM DO BREJO DO CRUZ,100.25
PB,PIANCÓ,100.21
PB,ARARUNA,100.17
PB,PITIMBU,100.09
PB,SERRA REDONDA,100.04
PB,POÇO DANTAS,100.0
PB,SERRA BRANCA,99.86
PB,AREIA,99.76
PB,PATOS,99.56
PB,CAPIM,99.45
PB,BANANEIRAS,99.43
PB,PUXINANÃ,99.36
PB,VIEIRÓPOLIS,99.2
PB,AMPARO,99.03
PB,BAYEUX,98.91
PB,CRUZ DO ESPÍRITO SANTO,98.86
PB,BARRA DE SANTA ROSA,98.85
PB,BOM JESUS,98.72
PB,TRIUNFO,98.7
PB,LAGOA DE DENTRO,98.7
PB,ITABAIANA,98.65
PB,JUAZEIRINHO,98.54
PB,OLIVEDOS,98.37
PB,NOVA OLINDA,98.36
PB,POÇO DE JOSÉ DE MOURA,98.09
PB,SÃO JOSÉ DE PIRANHAS,97.98
PB,SANTA INÊS,97.9
PB,CALDAS BRANDÃO,97.89
PB,RIACHO DOS CAVALOS,97.84
PB,BOA VENTURA,97.74
PB,GUARABIRA,97.73
PB,LOGRADOURO,97.71
PB,CARRAPATEIRA,97.64
PB,GURJÃO,97.5
PB,SÃO JOSÉ DE PRINCESA,97.49
PB,SALGADO DE SÃO FÉLIX,97.35
PB,PILÕEZINHOS,97.29
PB,CABEDELO,97.13
PB,SOLÂNEA,97.01
PB,BARRA DE SANTANA,96.89
PB,SERRARIA,96.87
PB,SÃO JOSÉ DOS RAMOS,96.72
PB,SANTO ANDRÉ,96.71
PB,POMBAL,96.4
PB,BOQUEIRÃO,96.14
PB,PEDRA BRANCA,96.13
PB,CARAÚBAS,96.08
PB,GURINHÉM,95.95
PB,MASSARANDUBA,95.69
PB,CATINGUEIRA,95.69
PB,JOCA CLAUDINO,95.58
PB,LAGOA,95.48
PB,SÃO JOSÉ DO BREJO DO CRUZ,95.48
PB,CONDADO,95.43
PB,DIAMANTE,95.41
PB,NAZAREZINHO,95.39
PB,SÃO FRANCISCO,95.32
